"DateRep","Cases","Deaths","Countries.and.territories"
"11/07/2020",752,6,"France_2nd"
"12/07/2020",585,1,"France_2nd"
"13/07/2020",288,18,"France_2nd"
"14/07/2020",511,6,"France_2nd"
"15/07/2020",416,20,"France_2nd"
"16/07/2020",534,18,"France_2nd"
"17/07/2020",836,14,"France_2nd"
"18/07/2020",965,8,"France_2nd"
"19/07/2020",765,1,"France_2nd"
"20/07/2020",350,15,"France_2nd"
"21/07/2020",584,14,"France_2nd"
"22/07/2020",998,7,"France_2nd"
"23/07/2020",1062,10,"France_2nd"
"24/07/2020",1130,10,"France_2nd"
"25/07/2020",0,8,"France_2nd"
"26/07/2020",0,1,"France_2nd"
"27/07/2020",2551,8,"France_2nd"
"28/07/2020",725,15,"France_2nd"
"29/07/2020",1392,15,"France_2nd"
"30/07/2020",1377,16,"France_2nd"
"31/07/2020",1346,11,"France_2nd"
"01/08/2020",1628,6,"France_2nd"
"02/08/2020",1192,1,"France_2nd"
"03/08/2020",556,22,"France_2nd"
"04/08/2020",1039,11,"France_2nd"
"05/08/2020",1695,9,"France_2nd"
"06/08/2020",1604,7,"France_2nd"
"07/08/2020",2288,12,"France_2nd"
"08/08/2020",2184,2,"France_2nd"
"09/08/2020",1885,0,"France_2nd"
"10/08/2020",785,14,"France_2nd"
"11/08/2020",1397,15,"France_2nd"
"12/08/2020",2524,17,"France_2nd"
"13/08/2020",2669,17,"France_2nd"
"14/08/2020",2846,18,"France_2nd"
"15/08/2020",3310,3,"France_2nd"
"16/08/2020",3015,1,"France_2nd"
"17/08/2020",493,19,"France_2nd"
"18/08/2020",2238,16,"France_2nd"
"19/08/2020",3776,17,"France_2nd"
"20/08/2020",4771,12,"France_2nd"
"21/08/2020",4586,23,"France_2nd"
"22/08/2020",3602,9,"France_2nd"
"23/08/2020",4897,1,"France_2nd"
"24/08/2020",1955,15,"France_2nd"
"25/08/2020",3304,21,"France_2nd"
"26/08/2020",5429,18,"France_2nd"
"27/08/2020",6111,14,"France_2nd"
"28/08/2020",7379,19,"France_2nd"
"29/08/2020",5453,6,"France_2nd"
"30/08/2020",5413,4,"France_2nd"
"31/08/2020",3082,29,"France_2nd"
"01/09/2020",4982,19,"France_2nd"
"02/09/2020",7017,25,"France_2nd"
"03/09/2020",7157,20,"France_2nd"
"04/09/2020",8975,18,"France_2nd"
"05/09/2020",8550,12,"France_2nd"
"06/09/2020",7071,3,"France_2nd"
"07/09/2020",4203,25,"France_2nd"
"08/09/2020",6544,39,"France_2nd"
"09/09/2020",8577,30,"France_2nd"
"10/09/2020",9843,19,"France_2nd"
"11/09/2020",9406,40,"France_2nd"
"12/09/2020",10561,17,"France_2nd"
"13/09/2020",7183,6,"France_2nd"
"14/09/2020",6158,34,"France_2nd"
"15/09/2020",7852,36,"France_2nd"
"16/09/2020",9784,46,"France_2nd"
"17/09/2020",10593,50,"France_2nd"
"18/09/2020",13215,122,"France_2nd"
"19/09/2020",13498,25,"France_2nd"
"20/09/2020",10569,11,"France_2nd"
"21/09/2020",5298,53,"France_2nd"
"22/09/2020",10008,67,"France_2nd"
"23/09/2020",13072,43,"France_2nd"
"24/09/2020",16096,52,"France_2nd"
"25/09/2020",15797,55,"France_2nd"
"26/09/2020",14412,39,"France_2nd"
"27/09/2020",11123,27,"France_2nd"
"28/09/2020",4070,81,"France_2nd"
"29/09/2020",8051,59,"France_2nd"
"30/09/2020",12845,63,"France_2nd"
"01/10/2020",13970,63,"France_2nd"
"02/10/2020",12148,47,"France_2nd"
"03/10/2020",16972,43,"France_2nd"
"04/10/2020",12565,32,"France_2nd"
"05/10/2020",5084,69,"France_2nd"
"06/10/2020",10489,62,"France_2nd"
"07/10/2020",18746,80,"France_2nd"
"08/10/2020",18129,76,"France_2nd"
"09/10/2020",20339,62,"France_2nd"
"10/10/2020",26896,54,"France_2nd"
"11/10/2020",16101,46,"France_2nd"
"12/10/2020",8505,95,"France_2nd"
"13/10/2020",12993,84,"France_2nd"
"14/10/2020",22591,104,"France_2nd"
"15/10/2020",30621,88,"France_2nd"
"16/10/2020",25086,122,"France_2nd"
"17/10/2020",32427,89,"France_2nd"
"18/10/2020",29837,85,"France_2nd"
"19/10/2020",13243,146,"France_2nd"
"20/10/2020",20468,162,"France_2nd"
"21/10/2020",26676,163,"France_2nd"
"22/10/2020",41622,162,"France_2nd"
"23/10/2020",42032,184,"France_2nd"
"24/10/2020",45422,137,"France_2nd"
"25/10/2020",52010,116,"France_2nd"
"26/10/2020",26771,257,"France_2nd"
"27/10/2020",33417,288,"France_2nd"
"28/10/2020",36437,244,"France_2nd"
"29/10/2020",47637,235,"France_2nd"
"30/10/2020",49215,255,"France_2nd"
"31/10/2020",35641,223,"France_2nd"
"01/11/2020",46290,231,"France_2nd"
"02/11/2020",52518,416,"France_2nd"
"03/11/2020",36330,426,"France_2nd"
"04/11/2020",40558,385,"France_2nd"
"05/11/2020",58046,363,"France_2nd"
"06/11/2020",60486,398,"France_2nd"
"07/11/2020",86852,304,"France_2nd"
"08/11/2020",38619,270,"France_2nd"
"09/11/2020",20155,548,"France_2nd"
"10/11/2020",22180,466,"France_2nd"
"11/11/2020",35879,328,"France_2nd"
"12/11/2020",33172,420,"France_2nd"
"13/11/2020",23794,461,"France_2nd"
"14/11/2020",32095,354,"France_2nd"
"15/11/2020",27228,302,"France_2nd"
"16/11/2020",9406,506,"France_2nd"
"17/11/2020",45522,428,"France_2nd"
"18/11/2020",28383,425,"France_2nd"
"19/11/2020",21150,429,"France_2nd"
